2,2502499
3,2499338
5,937325
6,1091693
8,467944
9,586805
11,267547
12,348778
14,166568
15,221699
17,109201
18,148120
20,74389
21,102244
23,51778
24,71601
26,36770
27,51720
29,26459
30,37353
32,19650
33,28012
34,1
35,14751
36,20967
37,29
38,10917
39,15724
40,191
41,8587
42,12290
43,552
44,7051
45,9692
46,836
47,5685
48,7719
49,1030
50,4532
51,5783
52,886
53,3272
54,4291
55,767
56,2389
57,2914
58,525
59,1547
60,1948
61,394
62,1103
63,1325
64,263
65,755
66,815
67,180
68,451
69,520
70,123
71,287
72,328
73,81
74,192
75,205
76,46
77,98
78,117
79,24
80,63
81,68
82,15
83,28
84,30
85,6
86,21
87,26
88,2
89,14
90,10
91,2
92,10
93,9
94,1
95,2
96,6
98,4
99,1
100,1
101,1
103,1
104,1
108,1
